Modelo,ErroPadrao
Linear,27.6115
POLINOMIAL_2,29.2116
POLINOMIAL_3,28.4003
POLINOMIAL_4,89.8735
POLINOMIAL_5,180.4963
POLINOMIAL_6,293.2819
POLINOMIAL_7,405.1494
POLINOMIAL_8,503.6044
POLINOMIAL_9,584.2436
POLINOMIAL_10,647.4686
MLP,15.0237
