Criptomoeda,MSE_Linear,RetornoPercentual_Linear,Lucro_Linear,MSE_POLINOMIAL_2,RetornoPercentual_POLINOMIAL_2,Lucro_POLINOMIAL_2,MSE_POLINOMIAL_3,RetornoPercentual_POLINOMIAL_3,Lucro_POLINOMIAL_3,MSE_POLINOMIAL_4,RetornoPercentual_POLINOMIAL_4,Lucro_POLINOMIAL_4,MSE_POLINOMIAL_5,RetornoPercentual_POLINOMIAL_5,Lucro_POLINOMIAL_5,MSE_POLINOMIAL_6,RetornoPercentual_POLINOMIAL_6,Lucro_POLINOMIAL_6,MSE_POLINOMIAL_7,RetornoPercentual_POLINOMIAL_7,Lucro_POLINOMIAL_7,MSE_POLINOMIAL_8,RetornoPercentual_POLINOMIAL_8,Lucro_POLINOMIAL_8,MSE_POLINOMIAL_9,RetornoPercentual_POLINOMIAL_9,Lucro_POLINOMIAL_9,MSE_POLINOMIAL_10,RetornoPercentual_POLINOMIAL_10,Lucro_POLINOMIAL_10,MSE_MLP,RetornoPercentual_MLP,Lucro_MLP,Média,Mediana,Moda,Desvio Padrão,Variância,Coef. Variação (%)
DASHUSDT,30.357968184432014,15833.534900000017,1583353.4212269236,49.66845475804614,16265.074800000019,1626507.3881368677,197.63334587396224,16450.941700000018,1645094.0756387275,418993.497606343,16196.959500000023,1619695.8371724023,113898532.43088055,15424.564400000037,1542456.3547336196,3621744203.6998816,15119.37470000001,1511937.3200332744,435860970198.8659,14859.48770000001,1485948.5775228,69331273622301.516,14846.994299999986,1484699.3060250285,3446391887086.8516,14743.28629999999,1474328.5238510992,8275808678480.955,14774.235999999994,1477423.475171263,17.242545825850964,16140.687900000017,1614068.685812637,107.32727142154863,58.828404525,3.0,154.33739016000186,23820.030001400635,143.8007210244001
LTCUSDT,5.645732282766686,5141.922599999988,514192.18950048013,7.357304608428711,5326.733699999999,532673.3012131302,9.124174737280345,5331.1272,533112.6225988801,14.075607628418933,5419.921599999991,541992.0681743786,3484.3799502843867,5355.997099999995,535599.6277276132,10227930.091117224,5022.039199999989,502203.8588796933,234014441.3952619,4762.274599999991,476227.32604936097,1144432953.7967067,4572.096799999985,457209.5046824421,8398187251.307112,4497.9465999999875,449794.5448338732,36460342274.277664,4307.262199999987,430726.1405540585,2.4645681407684936,5518.026899999991,551802.6206008838,73.67690720013276,65.384,2.2,59.30945859960109,3517.611879377796,80.49938692254746
XRPUSDT,0.0004529502513438443,3302.3274000000074,330232.8353263653,0.0005429362930659433,4019.233599999999,401923.4462056855,0.0006237676581830449,4148.5388,414853.95084724785,0.001561605866446123,4124.557000000001,412455.755178898,0.002115857090803823,4130.0519,413005.2503128556,0.4002270997142833,4145.1192,414511.9884664143,301.66385550970625,4106.681299999999,410668.1902192777,3043.846739532407,4153.3863999999985,415338.702162471,9846.278098960607,4107.2076,410720.82866598305,16611.192763488438,4117.9495,411795.0109016979,0.00016484776619516903,4048.0580999999993,404805.86787231325,0.5035507226077758,0.3707,0.00356027,0.5651026506069072,0.3193410057229522,112.22358051247903
XMRUSDT,14.259125366266318,3148.2350999999953,314823.4854719754,18.92537307206589,3961.453699999995,396145.3766380366,70.55600411376022,4902.288399999998,490228.8983940401,112.4312140575461,4613.954799999996,461395.4897945552,19991.912801756633,4095.6467999999936,409564.67829983484,9120619.123784449,3379.809499999994,337981.0128645577,274758857.4401422,3472.0427999999997,347204.3623322034,53176634319.54235,3286.8956999999937,328689.7126237614,131095455630.48584,3103.6847999999954,310368.6513751188,113012638348.2113,2922.488699999999,292249.06273181294,6.403906135447788,4034.483899999992,403448.38452403946,119.95369676504492,123.672261335,0.40000001,91.83422562147801,8433.524995496527,76.55806206736176
ETHUSDT,1320.5916756297588,2000.198899999998,200019.77049821324,937.3036183315116,2488.4822999999947,248848.1285940095,1444.6058821244792,2538.812199999996,253881.14296211745,17592.150980319446,1985.0580999999984,198505.79950896822,2136552.524130671,1825.8406999999995,182584.07751718455,62220843.58872235,1709.0795999999998,170907.96367462346,162458738681.46426,1613.4293,161342.9154576323,132757759534.66849,1455.9582000000005,145595.81585184633,7448902782.628761,1442.3665,144236.63890168234,6393052347.391153,1398.1517999999996,139815.1861996644,303.92297298628534,2081.9410999999996,208194.05792566738,1212.2870429575996,581.7919764650001,0.67,1238.118249336589,1532936.7993403,102.13078301290506
ETCUSDT,0.3379305625031287,1983.7118000000005,198371.28454067538,0.36251087941335947,2020.5175000000004,202051.85771079556,0.6683336597827312,2056.8130999999994,205681.41356546574,15.401341794367212,2065.7605999999996,206576.15711942842,6580.82723889122,2061.5169999999994,206151.79242441463,3302.780645200996,2020.8779000000004,202087.9017574916,119220.88124953827,1955.2894999999992,195528.99632781508,3437615191.797994,1612.4659999999988,161246.62398980165,5812225440.85926,1499.9337999999989,149993.47011298372,13896232685.446644,1379.6461000000002,137964.69937694634,0.12607497812309296,2076.641,207664.1985282844,18.05810507716917,16.40999888,26.476,14.11559604251304,199.2500516354098,78.16764816790973
ZRXUSDT,0.0006077360303172012,1459.1302999999994,145913.01265515856,0.0008165271432367437,1550.7461999999982,155074.6180960708,0.03620667791289285,1548.9250999999988,154892.50437531664,1.5476008210579981,1547.1412999999986,154714.11070968883,231.89592513075377,1509.368799999999,150936.85710664382,926098.3997182613,1579.2834999999989,157928.3314688809,431185906.3429068,1538.9551999999985,153895.49448683797,2153724885.89124,1551.931699999999,155193.15918072205,1350445451.0997326,1550.9221999999986,155092.2063295147,733240470.8310426,1559.1439999999984,155914.38711001052,0.0009132296786845773,1515.2178999999985,151521.7346294653,0.4616196813718412,0.32874876,0.2253,0.34788641901024175,0.12102496053176949,75.36212883653336
BTCUSDT,170469.42886107278,1351.5812000000026,135158.09209993074,195196.52229768972,1608.7745000000023,160877.32357241507,248363.88827326652,1584.365900000003,158436.45863100517,5965066.364419008,1201.8756000000012,120187.4273087154,28291459.580396153,993.5969000000009,99359.53107610664,73101818.42982818,975.7514000000002,97574.96665698197,132741969.69712357,880.9236000000005,88092.22772138401,194011205.39602363,728.6957000000011,72869.48540668392,1887924798.7738094,715.6803000000007,71567.90173534742,1991287670.4954286,685.8203000000009,68581.92404482079,122226.21742836607,1470.7618000000016,147076.12182461584,24284.269589003907,10666.42929147,235.0,27495.04365399959,755977425.535343,113.22162090660343
BATUSDT,0.0003708044522790031,1320.7772000000011,132077.7256851203,0.0006494975009216003,1267.8313000000016,126783.08313337345,0.053088701968023864,1320.5258000000017,132052.54297856832,12.89953472415618,1322.4745000000019,132247.41179228504,780.5653408560199,1288.4252000000015,128842.4930374336,2567913.6618599263,1314.3433000000016,131434.2863161945,3443562063.8743057,1312.4568000000015,131245.65334661366,3372765314.5751066,1316.0881000000018,131608.77858974334,19369474636151.023,1344.0927000000022,134409.24098836532,152725186753798.38,1298.5011000000015,129850.07827184127,0.0005190379802932088,1362.2136000000019,136221.35037867748,0.3450324285091927,0.23587057,0.161,0.27696975514094196,0.07671224526283334,80.27354308047676
BCHUSDT,717.8666014401707,249.71570000000006,24971.457542702818,1946.987758335205,255.79570000000004,25579.464936820812,5845.087360884629,255.79570000000004,25579.464936820812,440652.8455338875,255.79570000000004,25579.464936820812,239932497.73196048,238.05130000000005,23805.030770300196,4943980694003.506,298.02270000000004,29802.138166815028,185426016417826.44,315.27160000000003,31527.060586482898,1379796992417068.5,297.5573999999997,29755.648140633668,214919820182145.2,306.5472999999999,30654.632600223114,1000152133294845.4,290.48389999999966,29048.281801869663,446.7491935425198,242.00090000000003,24199.974847517668,456.9492275973669,397.33525625,397.33525625,353.1939833030891,124745.98984150279,77.29392281942974
