Modelo,RMSE Médio
Polinomial_2,3.0035736
Polinomial_3,14.774660999999998
Linear,47.116416099999995
MLP,50.5113125
Polinomial_4,225.47972200000004
Polinomial_5,481.02649920000005
Polinomial_6,737.5380748
Polinomial_7,1242.4111232
Polinomial_8,1478.6169991000002
Polinomial_9,1621.7501675
Polinomial_10,1743.8973286999997
