Modelo,ErroPadrao
Linear,3.6408
POLINOMIAL_2,3.9449
POLINOMIAL_3,3.8359
POLINOMIAL_4,3.5987
POLINOMIAL_5,3.5459
POLINOMIAL_6,13.7696
POLINOMIAL_7,21.3458
POLINOMIAL_8,29.4435
POLINOMIAL_9,37.1703
POLINOMIAL_10,44.8801
MLP,1.6835
