Modelo,ErroPadrao
Linear,0.5471
POLINOMIAL_2,0.5911
POLINOMIAL_3,0.5732
POLINOMIAL_4,0.5579
POLINOMIAL_5,0.5321
POLINOMIAL_6,0.5121
POLINOMIAL_7,0.5947
POLINOMIAL_8,2.0323
POLINOMIAL_9,3.1658
POLINOMIAL_10,4.2556
MLP,0.1584
