Modelo,ErroPadrao
Linear,407.5628
POLINOMIAL_2,430.7584
POLINOMIAL_3,433.0386
POLINOMIAL_4,2364.0696
POLINOMIAL_5,4998.4923
POLINOMIAL_6,7487.4667
POLINOMIAL_7,9579.6733
POLINOMIAL_8,15963.7139
POLINOMIAL_9,17445.4501
POLINOMIAL_10,18383.6756
MLP,286.8786
