Modelo,CoeficienteCorrelacao
Linear,0.9987274423020411
POLINOMIAL_2,0.9987534651119196
POLINOMIAL_3,0.9990365633999583
POLINOMIAL_4,0.9991510635410094
POLINOMIAL_5,0.9982137919698099
POLINOMIAL_6,0.9547141045930918
POLINOMIAL_7,0.9333017360272452
POLINOMIAL_8,0.9047211691146229
POLINOMIAL_9,0.8757801720333411
POLINOMIAL_10,0.8540439994262594
MLP,0.9998053455381005
