Modelo,ErroPadrao
Linear,20.611
POLINOMIAL_2,20.3993
POLINOMIAL_3,17.9352
POLINOMIAL_4,16.8362
POLINOMIAL_5,24.4158
POLINOMIAL_6,121.5925
POLINOMIAL_7,146.7542
POLINOMIAL_8,174.0995
POLINOMIAL_9,197.2741
POLINOMIAL_10,212.5957
MLP,8.1706
