Modelo,ErroPadrao
Linear,5.2951
POLINOMIAL_2,5.4889
POLINOMIAL_3,5.1591
POLINOMIAL_4,4.8263
POLINOMIAL_5,14.549
POLINOMIAL_6,32.4391
POLINOMIAL_7,48.6678
POLINOMIAL_8,79.951
POLINOMIAL_9,86.5645
POLINOMIAL_10,90.3943
MLP,2.9837
