Modelo,ErroPadrao
Linear,2.2756
POLINOMIAL_2,2.4735
POLINOMIAL_3,2.398
POLINOMIAL_4,2.2448
POLINOMIAL_5,2.09
POLINOMIAL_6,3.1258
POLINOMIAL_7,16.6706
POLINOMIAL_8,22.2459
POLINOMIAL_9,26.6805
POLINOMIAL_10,30.1001
MLP,1.0387
