Modelo,ErroPadrao
Linear,0.0135
POLINOMIAL_2,0.0171
POLINOMIAL_3,0.0159
POLINOMIAL_4,0.0147
POLINOMIAL_5,0.0135
POLINOMIAL_6,0.0128
POLINOMIAL_7,0.0119
POLINOMIAL_8,0.0112
POLINOMIAL_9,0.0108
POLINOMIAL_10,0.0106
MLP,0.0043
