Modelo,ErroPadrao
Linear,0.0174
POLINOMIAL_2,0.0209
POLINOMIAL_3,0.0198
POLINOMIAL_4,0.0186
POLINOMIAL_5,0.0177
POLINOMIAL_6,0.0159
POLINOMIAL_7,0.0148
POLINOMIAL_8,0.0142
POLINOMIAL_9,0.0136
POLINOMIAL_10,0.0131
MLP,0.0107
